1	Os	O
2	estudantes	O
3	devem	O
4	ser	O
5	ensinados	O
6	a	O
7	competir	O
8	ou	O
9	a	O
10	cooperar	O
11	?	O

1	Diz-se	O
2	sempre	O
3	que	O
4	a	O
5	concorrência	O
6	pode	O
7	efectivamente	O
8	promover	O
9	o	O
10	desenvolvimento	O
11	da	O
12	economia	O
13	.	O
14	A	O
15	fim	O
16	de	O
17	sobreviver	O
18	na	O
19	concorrência	O
20	,	O
21	as	O
22	empresas	O
23	continuam	O
24	a	O
25	melhorar	O
26	os	O
27	seus	O
28	produtos	O
29	e	O
30	serviços	O
31	,	O
32	e	O
33	,	O
34	como	O
35	resultado	O
36	,	O
37	toda	O
38	a	O
39	sociedade	O
40	prospera	O
41	.	O
42	No	O
43	entanto	O
44	,	O
45	quando	O
46	discutimos	O
47	a	O
48	questão	O
49	da	O
50	concorrência	O
51	ou	O
52	da	O
53	cooperação	O
54	,	O
55	o	O
56	que	O
57	nos	O
58	preocupa	O
59	não	O
60	é	O
61	toda	O
62	a	O
63	sociedade	O
64	,	O
65	mas	O
66	o	O
67	desenvolvimento	O
68	de	O
69	toda	O
70	a	O
71	vida	O
72	do	O
73	indivíduo	O
74	.	O
75	Deste	O
76	ponto	O
77	de	O
78	vista	O
79	,	O
80	acredito	O
81	firmemente	O
82	que	O
83	devemos	B-MajorClaim
84	atribuir	I-MajorClaim
85	mais	I-MajorClaim
86	importância	I-MajorClaim
87	à	I-MajorClaim
88	cooperação	I-MajorClaim
89	durante	I-MajorClaim
90	o	I-MajorClaim
91	ensino	I-MajorClaim
92	primário	I-MajorClaim
93	.	O

1	Em	O
2	primeiro	O
3	lugar	O
4	,	O
5	através	B-Claim
6	da	I-Claim
7	cooperação	I-Claim
8	,	I-Claim
9	as	I-Claim
10	crianças	I-Claim
11	podem	I-Claim
12	aprender	I-Claim
13	sobre	I-Claim
14	habilidades	I-Claim
15	interpessoais	I-Claim
16	que	I-Claim
17	são	I-Claim
18	significativas	I-Claim
19	na	I-Claim
20	vida	I-Claim
21	futura	I-Claim
22	de	I-Claim
23	todos	I-Claim
24	os	I-Claim
25	alunos	I-Claim
26	.	O
27	O	B-Premise
28	que	I-Premise
29	adquirimos	I-Premise
30	do	I-Premise
31	trabalho	I-Premise
32	em	I-Premise
33	equipe	I-Premise
34	não	I-Premise
35	é	I-Premise
36	apenas	I-Premise
37	como	I-Premise
38	alcançar	I-Premise
39	o	I-Premise
40	mesmo	I-Premise
41	objetivo	I-Premise
42	com	I-Premise
43	os	I-Premise
44	outros	I-Premise
45	,	I-Premise
46	mas	I-Premise
47	mais	I-Premise
48	importante	I-Premise
49	,	I-Premise
50	como	I-Premise
51	se	I-Premise
52	dar	I-Premise
53	bem	I-Premise
54	com	I-Premise
55	os	I-Premise
56	outros	I-Premise
57	.	O
58	Durante	B-Premise
59	o	I-Premise
60	processo	I-Premise
61	de	I-Premise
62	cooperação	I-Premise
63	,	I-Premise
64	as	I-Premise
65	crianças	I-Premise
66	podem	I-Premise
67	aprender	I-Premise
68	sobre	I-Premise
69	como	I-Premise
70	ouvir	I-Premise
71	opiniões	I-Premise
72	dos	I-Premise
73	outros	I-Premise
74	,	I-Premise
75	como	I-Premise
76	se	I-Premise
77	comunicar	I-Premise
78	com	I-Premise
79	os	I-Premise
80	outros	I-Premise
81	,	I-Premise
82	como	I-Premise
